License Number,County,Type of Child Care,City,State,Age Range,Capacity,Count
27390,Sussex,Licensed Family Child Care,GEORGETOWN,DE,6 months through 12 years.,9,1
27399,New Castle,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 5 years.,99,1
27407,Kent,Licensed Child Care Center,DOVER,DE,1 year through 12 years.,59,1
27410,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,9,1
27411,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,9,1
27415,New Castle,Licensed Family Child Care,NEW CASTLE,DE,1 year through 9 years.,9,1
27434,NEW CASTLE,Licensed Child Care Center,WILMINGTON,DE,5 years through 12 years.,55,1
27450,NEW CASTLE,Licensed Family Child Care,WILMINGTON,DE,3 months through 10 years.,9,1
27454,NEW CASTLE,Licensed Family Child Care,MIDDLETOWN,DE,6 weeks through 13 years.,9,1
27473,Sussex,Licensed Family Child Care,MILTON,DE,6 weeks through 12 years.,9,1
27490,New Castle,Licensed Family Child Care,BEAR,DE,3 months through 12 years.,9,1
27501,Sussex,Licensed Family Child Care,MILLSBORO,DE,6 weeks through 12 years.,9,1
27514,New Castle,Licensed Child Care Center,BEAR,DE,3 months through 15 years.,115,1
27519,Kent,Licensed Family Child Care,DOVER,DE,1 year through 12 years.,9,1
27523,New Castle,Licensed Child Care Center,WILMINGTON,DE,1 year through 12 years.,51,1
27556,New Castle,Licensed Family Child Care,NEWARK,DE,6 weeks through 12 years.,9,1
27563,New Castle,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 5 years.,73,1
27579,New Castle,Licensed Child Care Center,HOCKESSIN,DE,3 months through Kindergarten.,155,1
27580,New Castle,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 12 years.,97,1
27615,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,9,1
27670,NEW CASTLE,Licensed Child Care Center,WILMINGTON,DE,2 years through 5 years.,50,1
27713,New Castle,Licensed Family Child Care,NEWARK,DE,6 weeks through 10 years.,6,1
27722,New Castle,Licensed Child Care Center,WILMINGTON,DE,3 years through 5 years.,169,1
27726,New Castle,Licensed Child Care Center,HOCKESSIN,DE,6 weeks through 12 years.,123,1
27731,SUSSEX,Licensed Family Child Care,BETHEL,DE,6 weeks through 12 years.,9,1
27741,New Castle,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 12 years.,85,1
27755,New Castle,Licensed Child Care Center,BEAR,DE,3 years through 5 years.,76,1
27767,New Castle,Licensed Child Care Center,NEWARK,DE,6 weeks through 12 years.,113,1
27797,Kent,Licensed Family Child Care,CAMDEN WYOMING,DE,6 weeks through 12 years.,9,1
27813,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,9,1
27825,Kent,Licensed Family Child Care,MILFORD,DE,6 weeks through 6 years.,6,1
27883,New Castle,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 5 years.,120,1
27889,New Castle,Licensed Child Care Center,WILMINGTON,DE,8 weeks through 12 years.,212,1
27906,New Castle,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 12 years.,68,1
27913,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,9,1
27922,New Castle,Licensed Family Child Care,NEWARK,DE,6 weeks through 12 years.,9,1
27923,Sussex,Licensed Family Child Care,FRANKFORD,DE,6 weeks through 8 years.,9,1
27929,Sussex,Licensed Family Child Care,FRANKFORD,DE,6 weeks through 3 years.,9,1
27945,Sussex,Licensed Child Care Center,MILLSBORO,DE,2 years through 10 years.,70,1
27960,Kent,Licensed Child Care Center,HARTLY,DE,6 weeks through 12 years.,98,1
28035,New Castle,Licensed Child Care Center,NEW CASTLE,DE,6 weeks through 12 years.,90,1
28036,Kent,Licensed Family Child Care,FELTON,DE,6 weeks through 12 years.,9,1
28054,Sussex,Licensed Family Child Care,GEORGETOWN,DE,1 year through 12 years.,9,1
28077,Kent,Licensed Child Care Center,DOVER,DE,2 years through 5 years.,132,1
28107,Sussex,Licensed Family Child Care,LINCOLN,DE,6 weeks through 12 years.,9,1
28117,New Castle,Licensed Family Child Care,NEW CASTLE,DE,6 weeks through 5 years.,9,1
28132,New Castle,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 12 years.,186,1
28134,KENT,Licensed Child Care Center,DOVER,DE,1 year through 12 years.,126,1
28151,NEW CASTLE,Licensed Child Care Center,WILMINGTON,DE,3 years through 10 years.,99,1
28154,New Castle,Licensed Family Child Care,NEWARK,DE,6 weeks through 12 years.,9,1
28159,New Castle,Licensed Family Child Care,WILMINGTON,DE,1 year through 12 years.,9,1
28165,New Castle,Licensed Family Child Care,BEAR,DE,6 weeks through 6 years.,9,1
28170,Sussex,Licensed Family Child Care,SEAFORD,DE,6 weeks through 12 years.,9,1
28186,New Castle,Licensed Family Child Care,NEWARK,DE,6 weeks through 12 years.,9,1
28202,Sussex,Licensed Family Child Care,SEAFORD,DE,6 weeks through 12 years.,9,1
28217,New Castle,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 12 years.,60,1
28242,KENT,Licensed Child Care Center,DOVER,DE,8 weeks through 5 years.,78,1
28250,New Castle,Licensed Family Child Care,BEAR,DE,6 weeks through 10 years.,9,1
28254,Sussex,Licensed Family Child Care,SEAFORD,DE,1 year through 12 years.,9,1
28291,Kent,Licensed Family Child Care,CAMDEN WYOMING,DE,6 weeks through 12 years.,9,1
28294,Sussex,Licensed Family Child Care,SEAFORD,DE,6 weeks through 12 years.,9,1
28295,New Castle,Licensed Child Care Center,WILMINGTON,DE,8 weeks through Kindergarten.,259,1
28298,Sussex,Licensed Family Child Care,SEAFORD,DE,6 weeks through 13 years.,9,1
28314,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,9,1
28334,New Castle,Licensed Family Child Care,NEWARK,DE,3 months through 6 years.,9,1
28339,KENT,Licensed Family Child Care,FREDERICA,DE,1 year through 5 years.,9,1
28352,New Castle,Licensed Family Child Care,MIDDLETOWN,DE,6 weeks through 12 years.,9,1
28355,New Castle,Licensed Family Child Care,NEWARK,DE,6 weeks through 12 years.,9,1
28358,New Castle,Licensed Family Child Care,NEW CASTLE,DE,3 months through 12 years.,9,1
28361,New Castle,Licensed Child Care Center,NEWARK,DE,6 weeks through 5 years.,248,1
28362,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,9,1
28380,New Castle,Licensed Child Care Center,NEWARK,DE,6 weeks through 9 years.,254,1
28396,New Castle,Licensed Child Care Center,HOCKESSIN,DE,18 months through 5 years.,205,1
28398,Sussex,Licensed Family Child Care,SEAFORD,DE,1 year through 12 years.,9,1
28445,New Castle,Licensed Child Care Center,NEWARK,DE,6 weeks through 12 years.,170,1
28465,New Castle,Licensed Family Child Care,NEWARK,DE,2 years through 12 years.,9,1
28470,Kent,Licensed Family Child Care,CAMDEN WYOMING,DE,6 weeks through 12 years.,9,1
28473,New Castle,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 5 years.,42,1
28501,New Castle,Licensed Child Care Center,WILMINGTON,DE,1 year through 5 years.,121,1
28517,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through Kindergarten.,9,1
28549,SUSSEX,Licensed Family Child Care,BLADES,DE,6 weeks through 12 years.,9,1
28556,Sussex,Licensed Family Child Care,LEWES,DE,6 weeks through 12 years.,6,1
28562,Kent,Licensed Family Child Care,FELTON,DE,6 weeks through 12 years.,9,1
28575,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,9,1
28599,New Castle,Licensed Family Child Care,NEW CASTLE,DE,6 weeks through 12 years.,9,1
28670,New Castle,Licensed Child Care Center,WILMINGTON,DE,1 year through 14 years.,332,1
28676,New Castle,Licensed Family Child Care,CLAYMONT,DE,6 weeks through 12 years.,9,1
28677,Sussex,Licensed Family Child Care,LAUREL,DE,2 years through 12 years.,9,1
28748,NEW CASTLE,Licensed Child Care Center,WILMINGTON,DE,1 year through 12 years.,122,1
28751,New Castle,Licensed Family Child Care,WILMINGTON,DE,3 months through 12 years.,9,1
28758,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 5 years.,9,1
28765,Sussex,Licensed Family Child Care,SELBYVILLE,DE,1 year through 12 years.,9,1
28804,New Castle,Licensed Family Child Care,NEWARK,DE,3 months through 5 years.,9,1
28809,New Castle,Licensed Family Child Care,CLAYMONT,DE,6 weeks through 12 years.,9,1
28886,New Castle,Licensed Family Child Care,NEWARK,DE,6 weeks through 12 years.,6,1
28902,Kent,Licensed Family Child Care,MAGNOLIA,DE,6 weeks through 12 years.,9,1
28903,New Castle,Licensed Child Care Center,NEW CASTLE,DE,6 weeks through 12 years.,162,1
28907,New Castle,Licensed Family Child Care,NEWARK,DE,6 weeks through 5 years.,9,1
28991,New Castle,Licensed Child Care Center,NEWARK,DE,6 years through 17 years.,77,1
29013,New Castle,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 12 years.,128,1
29017,New Castle,Licensed Child Care Center,NEWARK,DE,6 years through 17 years.,60,1
29019,New Castle,Licensed Child Care Center,WILMINGTON,DE,2 years through 5 years.,136,1
29045,New Castle,Licensed Family Child Care,NEW CASTLE,DE,6 months through 4 years.,6,1
29078,NEW CASTLE,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 12 years.,200,1
29079,Sussex,Licensed Child Care Center,FRANKFORD,DE,6 weeks through 5 years.,41,1
29088,Sussex,Licensed Family Child Care,HARBESON,DE,6 weeks through 12 years.,9,1
29101,New Castle,Licensed Family Child Care,NEW CASTLE,DE,1 year through 12 years.,9,1
29121,New Castle,Licensed Family Child Care,BEAR,DE,6 weeks through 12 years.,9,1
29123,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,9,1
29137,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,9,1
29142,New Castle,Licensed Family Child Care,NEWARK,DE,6 weeks through 14 years.,9,1
29147,New Castle,Licensed Family Child Care,NEWARK,DE,6 weeks through 12 years.,9,1
29149,New Castle,Licensed Family Child Care,BEAR,DE,6 weeks through 6 years.,9,1
29163,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,9,1
29173,Sussex,Licensed Family Child Care,DAGSBORO,DE,2 years through 12 years.,9,1
29239,New Castle,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 12 years.,185,1
29245,New Castle,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 5 years.,132,1
29249,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,9,1
29255,Kent,Licensed Family Child Care,SMYRNA,DE,6 weeks through 6 years.,9,1
29260,New Castle,Licensed Child Care Center,NEW CASTLE,DE,2 years through 8 years.,101,1
29265,New Castle,Licensed Large Family Child Care,WILMINGTON,DE,8 weeks through 5 years.,12,1
29276,New Castle,Licensed Family Child Care,BEAR,DE,2 years through 12 years.,9,1
29295,NEW CASTLE,Licensed Child Care Center,NEWARK,DE,6 weeks through 12 years.,171,1
29327,New Castle,Licensed Family Child Care,SMYRNA,DE,6 weeks through 12 years.,9,1
